x,t,n
0.709327549,0.755952381,922
0.792782305,0.782352941,859
0.989105058,0.78957529,1285
0.798298906,0.729665072,823
0.877358491,0.766467066,1166
0.128608924,0.61482821,762
0.291739895,0.668329177,1138
0.217257319,0.84502447,649
0.151111111,0.823987539,675
0.211618257,0.702258727,482
0.33560477,0.686320755,2348
0.174418605,0.638157895,774
0.247960848,0.662068966,613
0.194886638,0.43424573,6219
0.201160141,0.39254766,4827
0.330737705,0.395663957,2440
0.242444899,0.662531017,4401
0.198996656,0.69047619,598
0.172127912,0.672115834,2533
0.223223223,0.708920188,999
0,0,0
0.80952381,0.826086957,21
0,0,0
0,0,0
0,0,0
